split,image,mask
train,img_168.jpg,img_168.png
train,img_043.jpg,img_043.png
train,img_003.jpg,img_003.png
train,img_154.jpg,img_154.png
train,img_169.jpg,img_169.png
train,img_013.jpg,img_013.png
train,img_079.jpg,img_079.png
train,img_014.jpg,img_014.png
train,img_121.jpg,img_121.png
train,img_070.jpg,img_070.png
train,img_004.jpg,img_004.png
train,img_183.jpg,img_183.png
train,img_031.jpg,img_031.png
train,img_163.jpg,img_163.png
train,img_170.jpg,img_170.png
train,img_016.jpg,img_016.png
train,img_157.jpg,img_157.png
train,img_037.jpg,img_037.png
train,img_132.jpg,img_132.png
train,img_045.jpg,img_045.png
train,img_006.jpg,img_006.png
train,img_054.jpg,img_054.png
train,img_102.jpg,img_102.png
train,img_080.jpg,img_080.png
train,img_065.jpg,img_065.png
train,img_074.jpg,img_074.png
train,img_038.jpg,img_038.png
train,img_124.jpg,img_124.png
train,img_129.jpg,img_129.png
train,img_116.jpg,img_116.png
train,img_158.jpg,img_158.png
train,img_067.jpg,img_067.png
train,img_125.jpg,img_125.png
train,img_149.jpg,img_149.png
train,img_033.jpg,img_033.png
train,img_053.jpg,img_053.png
train,img_189.jpg,img_189.png
train,img_141.jpg,img_141.png
train,img_011.jpg,img_011.png
train,img_061.jpg,img_061.png
train,img_085.jpg,img_085.png
train,img_126.jpg,img_126.png
train,img_114.jpg,img_114.png
train,img_101.jpg,img_101.png
train,img_191.jpg,img_191.png
train,img_112.jpg,img_112.png
train,img_139.jpg,img_139.png
train,img_100.jpg,img_100.png
train,img_091.jpg,img_091.png
train,img_062.jpg,img_062.png
train,img_001.jpg,img_001.png
train,img_187.jpg,img_187.png
train,img_017.jpg,img_017.png
train,img_077.jpg,img_077.png
train,img_131.jpg,img_131.png
train,img_161.jpg,img_161.png
train,img_188.jpg,img_188.png
train,img_182.jpg,img_182.png
train,img_172.jpg,img_172.png
train,img_039.jpg,img_039.png
train,img_105.jpg,img_105.png
train,img_044.jpg,img_044.png
train,img_123.jpg,img_123.png
train,img_110.jpg,img_110.png
train,img_020.jpg,img_020.png
train,img_015.jpg,img_015.png
train,img_173.jpg,img_173.png
train,img_137.jpg,img_137.png
train,img_156.jpg,img_156.png
train,img_066.jpg,img_066.png
train,img_081.jpg,img_081.png
train,img_103.jpg,img_103.png
train,img_047.jpg,img_047.png
train,img_095.jpg,img_095.png
train,img_055.jpg,img_055.png
train,img_135.jpg,img_135.png
train,img_106.jpg,img_106.png
train,img_113.jpg,img_113.png
train,img_104.jpg,img_104.png
train,img_111.jpg,img_111.png
train,img_146.jpg,img_146.png
train,img_034.jpg,img_034.png
train,img_019.jpg,img_019.png
train,img_136.jpg,img_136.png
train,img_147.jpg,img_147.png
train,img_171.jpg,img_171.png
train,img_064.jpg,img_064.png
train,img_084.jpg,img_084.png
train,img_165.jpg,img_165.png
train,img_096.jpg,img_096.png
train,img_073.jpg,img_073.png
train,img_028.jpg,img_028.png
train,img_180.jpg,img_180.png
train,img_107.jpg,img_107.png
train,img_052.jpg,img_052.png
train,img_162.jpg,img_162.png
train,img_005.jpg,img_005.png
train,img_030.jpg,img_030.png
train,img_179.jpg,img_179.png
train,img_099.jpg,img_099.png
train,img_042.jpg,img_042.png
train,img_119.jpg,img_119.png
train,img_193.jpg,img_193.png
train,img_175.jpg,img_175.png
train,img_150.jpg,img_150.png
train,img_166.jpg,img_166.png
train,img_122.jpg,img_122.png
train,img_049.jpg,img_049.png
train,img_133.jpg,img_133.png
train,img_127.jpg,img_127.png
train,img_145.jpg,img_145.png
train,img_128.jpg,img_128.png
train,img_069.jpg,img_069.png
train,img_022.jpg,img_022.png
train,img_082.jpg,img_082.png
train,img_078.jpg,img_078.png
train,img_010.jpg,img_010.png
train,img_083.jpg,img_083.png
train,img_160.jpg,img_160.png
train,img_120.jpg,img_120.png
train,img_090.jpg,img_090.png
train,img_035.jpg,img_035.png
train,img_086.jpg,img_086.png
train,img_185.jpg,img_185.png
train,img_046.jpg,img_046.png
train,img_048.jpg,img_048.png
train,img_134.jpg,img_134.png
train,img_094.jpg,img_094.png
train,img_117.jpg,img_117.png
train,img_159.jpg,img_159.png
