epoch,train_loss,val_loss,val_dice_bg,val_dice_effusion,val_dice_bone,val_score
1,0.819751791,1.54544065,0.822411287,0.197717959,0.433468318,0.315593138
2,0.624001467,0.634642297,0.930972004,0.740370631,0.038209755,0.389290193
3,0.543077819,0.592901254,0.913950562,0.729385722,0.088841882,0.409113802
4,0.489830045,0.629227203,0.838087428,0.75527966,0.171194709,0.463237185
5,0.438502655,0.353866327,0.940146339,0.885710371,0.337375361,0.611542866
6,0.47428392,0.729718864,0.847938442,0.661817229,0.100812152,0.38131469
7,0.443028351,0.357805938,0.965069342,0.879158616,0.367820928,0.623489772
8,0.395080305,0.360264957,0.945134199,0.854687428,0.288703044,0.571695236
9,0.392398657,0.300570235,0.958385777,0.87446245,0.331656033,0.603059241
10,0.405296812,0.303739253,0.928926682,0.851141965,0.360179359,0.605660662
11,0.391257168,0.291370261,0.957643056,0.879066515,0.331961736,0.605514126
12,0.375918535,0.263144219,0.97136023,0.89387337,0.412652826,0.653263098
13,0.367318674,0.295496011,0.947425508,0.840278935,0.36119222,0.600735578
14,0.329989077,0.274129653,0.96772455,0.885032749,0.372421613,0.628727181
15,0.309289611,0.210047626,0.962552702,0.902050889,0.381396806,0.641723847
16,0.335636965,0.243251282,0.97379024,0.90517571,0.380453661,0.642814685
17,0.331243246,0.214170164,0.971209753,0.91946038,0.473990956,0.696725668
18,0.290328295,0.200636357,0.968645978,0.913181484,0.386460465,0.649820974
19,0.280820633,0.248196101,0.974561965,0.90894134,0.553915438,0.731428389
20,0.268510177,0.235782832,0.96179198,0.884587586,0.411614674,0.64810113
21,0.26434126,0.251648438,0.975902045,0.910216105,0.53978069,0.724998397
22,0.26906652,0.192140716,0.969594586,0.908242965,0.377285784,0.642764375
23,0.266503677,0.308272529,0.956364691,0.811562777,0.346948266,0.579255521
24,0.23832211,0.203106359,0.973309088,0.899094772,0.484214333,0.691654553
25,0.265600438,0.220943388,0.967963326,0.907440007,0.680657321,0.794048664
26,0.307862536,0.250349763,0.957953286,0.87604779,0.34717342,0.611610605
27,0.264373731,0.168841891,0.971437943,0.924482834,0.606171203,0.765327018
28,0.235276436,0.156597112,0.972340417,0.924854422,0.510871452,0.717862937
29,0.241142013,0.211233956,0.97045399,0.908248949,0.464124788,0.686186869
30,0.229080317,0.173248225,0.965297818,0.907477868,0.517349908,0.712413888
31,0.242747428,0.162584986,0.973409581,0.928904033,0.613498682,0.771201357
32,0.235577949,0.180343105,0.972783291,0.923025918,0.39220098,0.657613449
33,0.225621065,0.154606584,0.976554906,0.92849524,0.665241003,0.796868122
34,0.249349013,0.22787112,0.95891819,0.878400755,0.515518114,0.696959434
35,0.272696132,0.199434969,0.97533145,0.906979823,0.608453399,0.757716611
36,0.22437344,0.174222359,0.969707942,0.923967969,0.429856148,0.676912059
37,0.236377568,0.247729647,0.95500524,0.872820115,0.350215578,0.611517847
38,0.255774139,0.183474712,0.97628324,0.932462943,0.61828067,0.775371806
39,0.225995412,0.180530399,0.968345702,0.902626276,0.622935915,0.762781096
40,0.207090469,0.167731173,0.967181659,0.918267751,0.441922039,0.680094895
